uf,populacao_2024_ibge,mortalidade_trauma_1a12anos,leitos_uti_ped_existentes,leitos_uti_ped_sus,taxa_mortalidade_por_100mil_hab,taxa_leitos_existentes_por_100mil_hab,taxa_leitos_sus_por_100mil_hab
AC,880631,27,11,11,3.0659833687435487,1.2491043354140383,1.2491043354140383
AL,3220104,39,95,65,1.211141006625873,2.9502152725502033,2.0185683443764546
AM,4281209,113,130,91,2.639441335379796,3.0365254300829507,2.1255678010580654
AP,802837,20,20,5,2.491165703623525,2.491165703623525,0.6227914259058812
BA,14850513,184,314,195,1.2390144367403335,2.11440507139383,1.3130859519802447
CE,9233656,84,172,126,0.9097155016387876,1.8627507890698982,1.3645732524581813
DF,2982818,35,177,115,1.1733870454047146,5.933985915332413,3.8554145777583484
ES,4102129,54,128,60,1.3163896113457183,3.1203309305972584,1.4626551237174648
GO,7350483,99,199,124,1.3468502682068648,2.707305084577435,1.6869639722995073
MA,7010960,152,118,62,2.1680340495452834,1.6830790647785754,0.8843296781039971
MG,21322691,199,571,269,0.9332780745169548,2.677898394719503,1.2615668444475419
MS,2901895,60,76,43,2.0676144381516215,2.6189782883253874,1.4817903473419953
MT,3836399,75,165,46,1.954958282493557,4.300908221485825,1.1990410799293816
PA,8664306,188,199,153,2.1698217953059364,2.296779453541922,1.7658656100096188
PB,4145040,48,141,79,1.158010537895895,3.4016559550691916,1.905892343620327
PE,9539029,100,399,162,1.0483247299069958,4.182815672328913,1.6982860624493332
PI,3375646,48,46,31,1.4219500504496028,1.3627021316808694,0.9183427409153685
PR,11824665,156,269,187,1.3192762754801088,2.2749058852830077,1.5814401507357714
RJ,17219679,170,672,213,0.9872425612579654,3.9025117715608983,1.2369568561643918
RN,3446071,28,81,43,0.8125195331146688,2.3505029350817206,1.2477978544260986
RO,1746227,45,62,30,2.5769845501186275,3.5505120468301086,1.7179897000790847
RR,716793,27,20,20,3.7667778563685745,2.790205819532278,2.790205819532278
RS,11229915,104,293,203,0.9260978377841683,2.6091025622188595,1.8076717410594825
SC,8058441,75,233,139,0.9307011120389166,2.8913781214009013,1.7248993943121258
SE,2291077,29,40,33,1.2657802422179614,1.7459037823696018,1.4403706204549214
SP,45973194,338,1653,912,0.7352110449406669,3.5955735422690016,1.9837647129760005
TO,1577342,28,43,21,1.7751381754876243,2.726105055213137,1.3313536316157182
