uf,populacao_2024_ibge,mortalidade_trauma_1a12anos,leitos_uti_ped_existentes,leitos_uti_ped_sus,taxa_mortalidade_por_100mil_hab,taxa_leitos_existentes_por_100mil_hab,taxa_leitos_sus_por_100mil_hab,obitos_1a12_todas_causas,sepse_causa_basica_A40_A41,sepse_mencionada_qualquer_linha,taxa_sepse_causabasica_por_100mil_hab,taxa_sepse_mencionada_por_100mil_hab
AC,880631,27,11,11,3.0659833687435487,1.2491043354140383,1.2491043354140383,101,0,24,0.0,2.7253185499942654
AL,3220104,39,95,65,1.211141006625873,2.9502152725502038,2.0185683443764546,191,4,71,0.12421959042316645,2.2048977300112047
AM,4281209,113,130,91,2.639441335379796,3.0365254300829507,2.1255678010580654,368,6,84,0.14014732754229003,1.9620625855920604
AP,802837,20,20,5,2.491165703623525,2.491165703623525,0.6227914259058812,77,4,25,0.49823314072470504,3.1139571295294064
BA,14850513,184,314,195,1.2390144367403335,2.11440507139383,1.3130859519802447,814,24,209,0.16161057870526088,1.4073587895583135
CE,9233656,84,172,126,0.9097155016387876,1.8627507890698984,1.3645732524581813,399,9,119,0.09746951803272724,1.2887636273216156
DF,2982818,35,177,115,1.1733870454047146,5.933985915332413,3.855414577758349,136,3,32,0.10057603246326126,1.0728110129414534
ES,4102129,54,128,60,1.3163896113457183,3.1203309305972584,1.4626551237174648,201,2,65,0.04875517079058216,1.5845430506939202
GO,7350483,99,199,124,1.3468502682068648,2.707305084577435,1.6869639722995071,452,7,133,0.09523183714593994,1.8094049057728585
MA,7010960,152,118,62,2.1680340495452834,1.6830790647785754,0.8843296781039971,470,11,102,0.15689720095393497,1.4548649543001244
MG,21322691,199,571,269,0.9332780745169548,2.677898394719503,1.261566844447542,989,36,254,0.1688342245357305,1.1912192508909873
MS,2901895,60,76,43,2.067614438151621,2.618978288325388,1.481790347341995,214,4,64,0.13784096254344144,2.205455400695063
MT,3836399,75,165,46,1.954958282493557,4.300908221485825,1.1990410799293816,309,6,82,0.15639666259948456,2.137421055526289
PA,8664306,188,199,153,2.1698217953059364,2.296779453541922,1.7658656100096188,724,10,140,0.11541605294180514,1.615824741185272
PB,4145040,48,141,79,1.158010537895895,3.401655955069192,1.905892343620327,191,4,53,0.09650087815799123,1.278636635593384
PE,9539029,100,399,162,1.0483247299069958,4.182815672328913,1.6982860624493332,488,10,171,0.10483247299069957,1.7926352881409626
PI,3375646,48,46,31,1.4219500504496028,1.3627021316808694,0.9183427409153684,192,1,46,0.029623959384366728,1.3627021316808694
PR,11824665,156,269,187,1.3192762754801088,2.274905885283008,1.5814401507357714,561,12,135,0.10148279042154683,1.1416813922424018
RJ,17219679,170,672,213,0.9872425612579654,3.9025117715608975,1.2369568561643918,773,24,210,0.13937542041288925,1.2195349286127808
RN,3446071,28,81,43,0.8125195331146688,2.3505029350817206,1.2477978544260986,152,3,61,0.08705566426228595,1.7701318399998143
RO,1746227,45,62,30,2.5769845501186275,3.550512046830109,1.7179897000790847,129,2,40,0.11453264667193899,2.2906529334387797
RR,716793,27,20,20,3.766777856368575,2.790205819532278,2.790205819532278,122,0,16,0.0,2.232164655625822
RS,11229915,104,293,203,0.9260978377841684,2.6091025622188595,1.8076717410594825,436,8,125,0.0712382952141668,1.1130983627213562
SC,8058441,75,233,139,0.9307011120389166,2.8913781214009013,1.7248993943121258,381,10,120,0.12409348160518889,1.4891217792622666
SE,2291077,29,40,33,1.2657802422179614,1.7459037823696018,1.4403706204549214,121,2,26,0.0872951891184801,1.1348374585402412
SP,45973194,338,1653,912,0.7352110449406669,3.5955735422690016,1.9837647129760003,1996,37,605,0.08048168243433336,1.3159842668316672
TO,1577342,28,43,21,1.7751381754876243,2.726105055213137,1.3313536316157182,106,0,25,0.0,1.5849447995425214
