uf,populacao_2024_ibge,obitos_trauma_1a12anos,taxa_mortalidade_por_100mil_hab,obitos_sepse_causabasica_1a12anos,taxa_sepse_causabasica_por_100mil_hab,obitos_sepse_mencionada_1a12anos,taxa_sepse_mencionada_por_100mil_hab,leitos_uti_ped_existentes,taxa_leitos_existentes_por_100mil_hab,leitos_uti_ped_sus,taxa_leitos_sus_por_100mil_hab
AC,880631,27,3.0659833687435487,0,0.0,24,2.7253185499942654,11,1.2491043354140383,11,1.2491043354140383
AL,3220104,39,1.211141006625873,4,0.1242195904231664,71,2.2048977300112047,95,2.950215272550204,65,2.0185683443764546
AM,4281209,113,2.639441335379796,6,0.14014732754229,84,1.9620625855920604,130,3.0365254300829507,91,2.1255678010580654
AP,802837,20,2.491165703623525,4,0.498233140724705,25,3.1139571295294064,20,2.491165703623525,5,0.6227914259058812
BA,14850513,184,1.2390144367403335,24,0.1616105787052608,209,1.4073587895583135,314,2.11440507139383,195,1.3130859519802447
CE,9233656,84,0.9097155016387876,9,0.0974695180327272,119,1.2887636273216156,172,1.8627507890698984,126,1.3645732524581813
DF,2982818,35,1.1733870454047146,3,0.1005760324632612,32,1.0728110129414534,177,5.933985915332413,115,3.855414577758349
ES,4102129,54,1.3163896113457183,2,0.0487551707905821,65,1.5845430506939202,128,3.1203309305972584,60,1.4626551237174648
GO,7350483,99,1.3468502682068648,7,0.0952318371459399,133,1.8094049057728585,199,2.707305084577435,124,1.6869639722995071
MA,7010960,152,2.1680340495452834,11,0.1568972009539349,102,1.4548649543001244,118,1.6830790647785754,62,0.8843296781039971
MG,21322691,199,0.9332780745169548,36,0.1688342245357305,254,1.1912192508909871,571,2.677898394719503,269,1.261566844447542
MS,2901895,60,2.067614438151621,4,0.1378409625434414,64,2.205455400695063,76,2.618978288325388,43,1.481790347341995
MT,3836399,75,1.954958282493557,6,0.1563966625994845,82,2.137421055526289,165,4.300908221485825,46,1.1990410799293816
PA,8664306,188,2.1698217953059364,10,0.1154160529418051,140,1.615824741185272,199,2.296779453541922,153,1.7658656100096188
PB,4145040,48,1.158010537895895,4,0.0965008781579912,53,1.278636635593384,141,3.401655955069192,79,1.905892343620327
PE,9539029,100,1.0483247299069958,10,0.1048324729906995,171,1.7926352881409626,399,4.182815672328913,162,1.6982860624493332
PI,3375646,48,1.4219500504496028,1,0.0296239593843667,46,1.3627021316808694,46,1.3627021316808694,31,0.9183427409153684
PR,11824665,156,1.3192762754801088,12,0.1014827904215468,135,1.1416813922424018,269,2.274905885283008,187,1.5814401507357714
RJ,17219679,170,0.9872425612579654,24,0.1393754204128892,210,1.2195349286127808,672,3.9025117715608975,213,1.2369568561643918
RN,3446071,28,0.8125195331146688,3,0.0870556642622859,61,1.7701318399998145,81,2.3505029350817206,43,1.2477978544260986
RO,1746227,45,2.5769845501186275,2,0.1145326466719389,40,2.29065293343878,62,3.550512046830109,30,1.7179897000790847
RR,716793,27,3.766777856368575,0,0.0,16,2.232164655625822,20,2.790205819532278,20,2.790205819532278
RS,11229915,104,0.9260978377841684,8,0.0712382952141668,125,1.1130983627213562,293,2.6091025622188595,203,1.8076717410594825
SC,8058441,75,0.9307011120389166,10,0.1240934816051888,120,1.4891217792622666,233,2.8913781214009013,139,1.7248993943121258
SE,2291077,29,1.2657802422179614,2,0.0872951891184801,26,1.1348374585402412,40,1.7459037823696018,33,1.4403706204549214
SP,45973194,338,0.7352110449406669,37,0.0804816824343333,605,1.3159842668316672,1653,3.5955735422690016,912,1.9837647129760003
TO,1577342,28,1.7751381754876243,0,0.0,25,1.5849447995425214,43,2.726105055213137,21,1.3313536316157182
